split,comparison_scope,feature,feature_group,n_sell_or_trigger_steps,n_hold_steps,mean_on_sell_or_trigger_steps,mean_on_hold_steps,median_on_sell_or_trigger_steps,median_on_hold_steps,difference_in_means,standardized_difference
test,first_sale_vs_pre_first_hold,sma_5,technical_indicator,704,75057,1.1189912258004064,0.930748875605654,1.4110961155969046,1.0473022735703608,0.18824235019475244,0.15836801722030253
test,first_sale_vs_pre_first_hold,Semiconductor_Close,macro_market,704,75057,0.9094265956125427,0.02296926588567038,1.2798959452552578,0.02039831645417672,0.8864573297268723,0.45807227761932123
test,first_sale_vs_pre_first_hold,PC9,pca_feature,704,75057,0.9088939037115111,-0.15669995763060587,0.8304106317872102,-0.12798683307654904,1.065593861342117,0.3459199215695416
test,first_sale_vs_pre_first_hold,PC2,pca_feature,704,75057,-2.172950669511049,-0.16359695251593473,-6.661303729665756,-0.3068645300350226,-2.0093537169951143,-0.2027175660216318
validation,first_sale_vs_pre_first_hold,VIX_Close,macro_market,707,99003,-0.35856878585420837,-0.6048097178158512,-0.8859954792808092,-0.9322056487685748,0.24624093196164287,0.20578629309928667
validation,first_sale_vs_pre_first_hold,days_to_tax_transition_norm,tax_timing,707,99003,0.3156342640134855,0.3788591711417628,0.33424657534246577,0.3698630136986301,-0.06322490712827733,-0.2687273701493534
validation,first_sale_vs_pre_first_hold,PC8,pca_feature,707,99003,-2.8139748319384013,0.08918434052053253,-3.7463034641522226,0.12143997757759423,-2.903159172458934,-0.7382661258332723
validation,first_sale_vs_pre_first_hold,macd,technical_indicator,707,99003,0.3694226937452337,0.2500531632173085,0.2214626786173253,0.25740391357214953,0.11936953052792515,0.10257596943422942
validation,first_sale_vs_pre_first_hold,macd_hist,technical_indicator,707,99003,0.3444022822186234,0.29807330934631804,0.28802116740368006,0.314672747071021,0.04632897287230536,0.04080053729987871
validation,first_sale_vs_pre_first_hold,PC7,pca_feature,707,99003,-0.6166363457842186,0.12130435180275619,-0.6611546278277167,0.05220905455233357,-0.7379406975869748,-0.21518740289445268
validation,first_sale_vs_pre_first_hold,WTI_Close,macro_market,707,99003,-0.731331308822567,-0.007463881754008442,-0.6486992558775323,0.06130911159310018,-0.7238674270685586,-0.5898603064813475
validation,first_sale_vs_pre_first_hold,sma_50,technical_indicator,707,99003,0.6595268948647706,0.6059996615468186,0.8720530690499411,0.7393387472503,0.05352723331795195,0.03884811455436015
validation,first_sale_vs_pre_first_hold,rsi_14,technical_indicator,707,99003,0.2941750682189844,0.1475671399765034,0.1473327667162167,0.14690532264547343,0.14660792824248103,0.1182810084329243
validation,first_sale_vs_pre_first_hold,PC5,pca_feature,707,99003,-1.0414688156613223,0.0942018916124047,-0.29079365300990834,-0.07164578734136422,-1.135670707273727,-0.21230477765617056
validation,first_sale_vs_pre_first_hold,PC4,pca_feature,707,99003,-1.9573233898274458,-0.3302544562269146,-1.2986390079568841,-0.04000944143424709,-1.6270689336005313,-0.3425507250140797
validation,first_sale_vs_pre_first_hold,ema_50,technical_indicator,707,99003,0.707062945693793,0.6164019156243647,0.8613414769623277,0.7574695028422946,0.09066103006942827,0.06530030894816644
validation,first_sale_vs_pre_first_hold,Gold_Close,macro_market,707,99003,-0.30866191954061883,0.03455829459611743,-0.9723644652496173,0.0073715541871620235,-0.34322021413673626,-0.24960008923061525
validation,first_sale_vs_pre_first_hold,bb_upper,technical_indicator,707,99003,0.6655873142123201,0.5713983240328598,0.7368779021490507,0.638343590425002,0.09418899017946025,0.07104467599163138
validation,first_sale_vs_pre_first_hold,USD_JPN_Close,macro_market,707,99003,-0.27314226413977305,-0.009571080492806814,0.1987059930095754,0.06311265274585239,-0.26357118364696625,-0.17107457938229062
validation,first_sale_vs_pre_first_hold,PC1,pca_feature,707,99003,8.784744522811522,-0.2985373543521833,0.19912557867429048,-0.3917610328673108,9.083281877163705,0.4745874680928733
validation,first_sale_vs_pre_first_hold,bb_middle,technical_indicator,707,99003,0.6804863398814041,0.6241417306118782,0.8127955504903837,0.7234143264149223,0.05634460926952589,0.04259345185618551
validation,first_sale_vs_pre_first_hold,sma_20,technical_indicator,707,99003,0.6804863398814041,0.6241417306118782,0.8127955504903837,0.7234143264149223,0.05634460926952589,0.04259345185618551
validation,first_sale_vs_pre_first_hold,ema_20,technical_indicator,707,99003,0.7096356028971953,0.6354543284962441,0.8518823115986693,0.7448365915694025,0.07418127440095124,0.0562229478717971
validation,first_sale_vs_pre_first_hold,SPY_Close,macro_market,707,99003,0.6116395225427592,-0.003732570479953863,0.6633604845758445,-0.017285487282477884,0.6153720930227131,0.6066422874766136
validation,first_sale_vs_pre_first_hold,Wheat_Close,macro_market,707,99003,-0.1274206136237516,-0.010555855673771933,-0.04923417599547079,-0.07454389185840941,-0.11686475794997966,-0.10855702548459231
validation,first_sale_vs_pre_first_hold,PC10,pca_feature,707,99003,1.1477828407457709,-0.0753512461878006,1.2837184427602226,-0.12753261143815706,1.2231340869335714,0.3929073684040357
validation,first_sale_vs_pre_first_hold,macd_signal,technical_indicator,707,99003,0.15286356601932807,-0.07663113927762918,0.18722444654350603,-0.06540810491295668,0.22949470529695726,0.19248626935478766
validation,first_sale_vs_pre_first_hold,EUR_USD_Close,macro_market,707,99003,0.0363463216267541,0.0029561367928004115,-0.4691114801067577,0.022512062429023597,0.03339018483395369,0.02572385528896392
validation,first_sale_vs_pre_first_hold,sma_10,technical_indicator,707,99003,0.709534705920859,0.6172115652553338,0.7999768470584974,0.7101236533892635,0.09232314066552516,0.07251799430941058
validation,first_sale_vs_pre_first_hold,bb_lower,technical_indicator,707,99003,0.6344030457741383,0.6198762626387923,0.7455833179334896,0.7183701596578672,0.014526783135346055,0.011373553315318044
validation,first_sale_vs_pre_first_hold,ema_10,technical_indicator,707,99003,0.724935238657831,0.623845406200894,0.8411013542995719,0.7221130204430397,0.10108983245693703,0.07879092179953257
validation,first_sale_vs_pre_first_hold,unrealized_gain_pct_norm,pnl_gain_path,707,99003,0.5692744879836248,0.5693383603757753,0.6171887818917705,0.5958002078580945,-6.387239215055462e-05,-0.00022226463036588033
validation,first_sale_vs_pre_first_hold,USD_CNY_Close,macro_market,707,99003,0.08771842018169515,0.014138748258847542,0.3001001988400835,0.03632721569471026,0.0735796719228476,0.06703696329306232
validation,first_sale_vs_pre_first_hold,PC6,pca_feature,707,99003,-1.1588195304259623,0.11454772264597629,-2.1568139821532673,0.15971072276549814,-1.2733672530719387,-0.2634207346065097
validation,first_sale_vs_pre_first_hold,PC3,pca_feature,707,99003,-1.204170683806041,-0.25680599030777057,-1.6890159068585617,-0.12583659678685888,-0.9473646934982705,-0.123666523536563
validation,first_sale_vs_pre_first_hold,ema_5,technical_indicator,707,99003,0.7400141488507878,0.6124660569884979,0.8474062977956585,0.7031585879074668,0.12754809186228988,0.10086361031891314
validation,first_sale_vs_pre_first_hold,sma_5,technical_indicator,707,99003,0.7261962636673063,0.6086788825711227,0.8441696132054812,0.6973506812899958,0.11751738109618359,0.09314401637074554
